Timestamp, Frequency, Resistance
16/12/2020 11:34:23.933018, 5009856.400, 386.600
16/12/2020 11:34:24.932423, 5009856.300, 386.600
16/12/2020 11:34:25.932839, 5009856.300, 386.590
16/12/2020 11:34:26.932808, 5009856.300, 386.590
16/12/2020 11:34:27.932782, 5009856.200, 386.580
16/12/2020 11:34:28.932740, 5009856.300, 386.580
16/12/2020 11:34:29.932095, 5009856.200, 386.570
16/12/2020 11:34:30.935999, 5009856.100, 386.580
16/12/2020 11:34:31.932115, 5009856.100, 386.570
16/12/2020 11:34:32.931927, 5009856.100, 386.570
16/12/2020 11:34:33.931573, 5009856.000, 386.560
16/12/2020 11:34:34.932375, 5009856.000, 386.560
16/12/2020 11:34:35.931682, 5009856.000, 386.570
16/12/2020 11:34:36.931609, 5009855.900, 386.570
16/12/2020 11:34:37.931687, 5009855.900, 386.570
16/12/2020 11:34:38.932028, 5009855.900, 386.580
16/12/2020 11:34:39.933635, 5009855.900, 386.570
16/12/2020 11:34:40.939464, 5009855.900, 386.570
16/12/2020 11:34:41.931666, 5009855.800, 386.570
16/12/2020 11:34:42.932214, 5009855.800, 386.570
16/12/2020 11:34:43.931816, 5009855.800, 386.570
16/12/2020 11:34:44.932155, 5009855.700, 386.560
16/12/2020 11:34:45.931893, 5009855.600, 386.570
16/12/2020 11:34:46.932225, 5009855.600, 386.570
16/12/2020 11:34:47.931874, 5009855.600, 386.560
16/12/2020 11:34:48.932320, 5009855.600, 386.560
16/12/2020 11:34:49.931532, 5009855.500, 386.560
16/12/2020 11:34:50.991149, 5009855.400, 386.560
16/12/2020 11:34:52.124576, 5009855.400, 386.560
16/12/2020 11:34:52.932647, 5009855.400, 386.550
16/12/2020 11:34:53.932597, 5009855.400, 386.550
16/12/2020 11:34:55.454440, 5009855.300, 386.540
16/12/2020 11:34:56.932705, 5009855.300, 386.540
16/12/2020 11:34:57.933351, 5009855.300, 386.540
16/12/2020 11:34:58.931369, 5009855.200, 386.530
16/12/2020 11:34:59.932007, 5009855.300, 386.530
16/12/2020 11:35:00.933121, 5009855.100, 386.530
16/12/2020 11:35:01.932893, 5009855.100, 386.530
16/12/2020 11:35:02.931763, 5009855.100, 386.530
16/12/2020 11:35:03.932763, 5009855.100, 386.530
16/12/2020 11:35:04.931228, 5009855.100, 386.530
16/12/2020 11:35:05.932626, 5009855.000, 386.530
16/12/2020 11:35:06.931091, 5009855.000, 386.530
16/12/2020 11:35:07.931432, 5009855.000, 386.530
16/12/2020 11:35:08.931029, 5009854.900, 386.520
16/12/2020 11:35:09.931849, 5009854.900, 386.520
16/12/2020 11:35:10.932030, 5009854.900, 386.520
16/12/2020 11:35:11.932418, 5009854.800, 386.520
16/12/2020 11:35:12.931414, 5009854.800, 386.510
16/12/2020 11:35:13.931512, 5009854.800, 386.510
16/12/2020 11:35:15.447600, 5009854.800, 386.510
16/12/2020 11:35:16.344203, 5009854.700, 386.510
16/12/2020 11:35:17.878304, 5009854.600, 386.510
16/12/2020 11:35:19.922500, 5009854.600, 386.500
